"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.937416615E-3,1.990859985E-2,2.085163879E-1,9.814191284E0,9.816426335E0
1.196841663E-2,5.942642212E-2,2.121089172E-1,9.840536499E0,9.843001589E0
2.200041665E-2,2.424957275E-2,2.143542480E-1,9.802964630E0,9.805337900E0
3.203141666E-2,5.852828979E-2,2.127076721E-1,9.846074982E0,9.848546221E0
4.206241667E-2,5.373825073E-2,1.990859985E-1,9.762249298E0,9.764426987E0
5.209441658E-2,2.424957275E-2,2.204914856E-1,9.772428131E0,9.774945325E0
6.212541659E-2,4.281097412E-2,2.177970886E-1,9.821675720E0,9.824183544E0
7.215641660E-2,2.844085693E-2,2.194436646E-1,9.829010468E0,9.831500962E0
8.218841662E-2,4.086502075E-2,2.200424194E-1,9.821825409E0,9.824374941E0
9.221941663E-2,4.340972900E-2,2.088157654E-1,9.815837860E0,9.818154680E0
1.022504166E-1,3.367996216E-2,2.154020691E-1,9.801767120E0,9.804191505E0
1.122824167E-1,6.421646118E-2,2.176473999E-1,9.829908600E0,9.832527510E0
1.223134167E-1,4.939727783E-2,2.195933533E-1,9.841584320E0,9.844157824E0
1.323444166E-1,4.730163574E-2,2.163002014E-1,9.831405487E0,9.833898366E0
1.423764166E-1,3.921844482E-2,2.140548706E-1,9.845625916E0,9.848030628E0
1.524074166E-1,2.978805542E-2,2.168989563E-1,9.830058289E0,9.832496043E0
1.624384166E-1,4.475692749E-2,2.103126526E-1,9.809550934E0,9.811907262E0
1.724704166E-1,5.688171387E-2,1.990859985E-1,9.816586304E0,9.818769649E0
1.825014167E-1,5.104385376E-2,2.140548706E-1,9.822424164E0,9.824888876E0
1.925324167E-1,5.658233643E-2,2.239343262E-1,9.824669495E0,9.827384129E0
2.025644166E-1,4.730163574E-2,2.086660767E-1,9.821226654E0,9.823556992E0
2.125954166E-1,3.502716064E-2,2.145039368E-1,9.809101868E0,9.811509481E0
2.226264166E-1,4.954696655E-2,2.216889954E-1,9.807155914E0,9.809786340E0
2.326584166E-1,5.224136353E-2,2.215393066E-1,9.828860779E0,9.831495971E0
2.426894166E-1,6.346801758E-2,2.209405518E-1,9.824819183E0,9.827508072E0
2.527204166E-1,5.089416504E-2,2.164498901E-1,9.820777588E0,9.823294417E0
2.627524167E-1,4.385879517E-2,2.083666992E-1,9.809550934E0,9.811861689E0
2.727834167E-1,3.697311401E-2,2.133064270E-1,9.801018677E0,9.803409292E0
2.828144166E-1,4.385879517E-2,2.258802795E-1,9.828711090E0,9.831404131E0
2.928464166E-1,4.745132446E-2,2.124082947E-1,9.821376343E0,9.823787568E0
3.028774166E-1,5.418731689E-2,2.140548706E-1,9.803264008E0,9.805750402E0
3.129094166E-1,4.385879517E-2,2.125579834E-1,9.819879456E0,9.822277588E0
3.229404166E-1,3.742218018E-2,2.164498901E-1,9.847122803E0,9.849572502E0
3.329714166E-1,3.861968994E-2,2.143542480E-1,9.819280701E0,9.821696020E0
3.430034167E-1,4.715194702E-2,2.160008240E-1,9.792636108E0,9.795131526E0
3.530344167E-1,5.269042969E-2,2.145039368E-1,9.792037354E0,9.794528256E0
3.630654166E-1,6.002517700E-2,2.146536255E-1,9.802814941E0,9.805348539E0
3.730974166E-1,5.688171387E-2,2.158511353E-1,9.828860779E0,9.831395194E0
3.831284166E-1,5.792953491E-2,2.104623413E-1,9.807006226E0,9.809435322E0
3.931594166E-1,4.924758911E-2,2.098635864E-1,9.787995758E0,9.790369197E0
4.031914166E-1,3.667373657E-2,1.959425354E-1,9.803114319E0,9.805140937E0
4.132224167E-1,3.382965088E-2,1.972897339E-1,9.806108093E0,9.808150877E0
4.232534167E-1,5.822891235E-2,2.134561157E-1,9.797126770E0,9.799624843E0
4.332854166E-1,3.951782227E-2,2.094145203E-1,9.825268250E0,9.827579167E0
4.433164166E-1,3.442840576E-2,2.124082947E-1,9.805209961E0,9.807570799E0
4.533474166E-1,5.777984619E-2,2.215393066E-1,9.836494904E0,9.839159017E0
4.633794166E-1,6.092330933E-2,2.080673218E-1,9.839937744E0,9.842325867E0
4.734104166E-1,5.134323120E-2,2.306703186E-1,9.837093658E0,9.839931736E0
4.834414166E-1,4.640350342E-2,2.206411743E-1,9.841135254E0,9.843717738E0
4.934734167E-1,4.520599365E-2,2.136058044E-1,9.820627899E0,9.823054686E0
5.035044167E-1,5.074447632E-2,2.083666992E-1,9.784552917E0,9.786902854E0
5.135354166E-1,5.313949585E-2,2.050735474E-1,9.803264008E0,9.805552721E0
5.235674166E-1,4.176315308E-2,2.142045593E-1,9.832902374E0,9.835323932E0
5.335984166E-1,3.921844482E-2,2.203417969E-1,9.846823425E0,9.849366485E0
5.436294166E-1,4.206253052E-2,2.145039368E-1,9.830207977E0,9.832638002E0
5.536614166E-1,5.478607178E-2,2.218386841E-1,9.805808716E0,9.808470752E0
5.636924166E-1,5.164260864E-2,2.152523804E-1,9.810299377E0,9.812796463E0
5.737244167E-1,5.343887329E-2,2.189945984E-1,9.816137238E0,9.818725203E0
5.837554167E-1,5.478607178E-2,2.266287231E-1,9.812395020E0,9.815164701E0
5.937864166E-1,4.984634399E-2,2.225871277E-1,9.815089417E0,9.817739554E0
6.038184166E-1,4.805007935E-2,2.291734314E-1,9.850116577E0,9.852899363E0
6.138494166E-1,4.086502075E-2,2.270777893E-1,9.816885681E0,9.819596669E0
6.238804166E-1,5.254074097E-2,2.110610962E-1,9.806108093E0,9.808519932E0
6.339124166E-1,5.703140259E-2,2.148033142E-1,9.804311829E0,9.806830450E0
6.439434167E-1,6.047424316E-2,2.209405518E-1,9.819430389E0,9.822101864E0
6.539744167E-1,5.254074097E-2,2.309696960E-1,9.826316071E0,9.829170619E0
6.640064166E-1,5.523513794E-2,2.221380615E-1,9.820029144E0,9.822696607E0
6.740374166E-1,5.822891235E-2,2.210902405E-1,9.813442841E0,9.816105739E0
6.840684166E-1,5.433700562E-2,2.112107849E-1,9.810000000E0,9.812423885E0
6.941004166E-1,4.400848389E-2,2.183958435E-1,9.817334747E0,9.819862272E0
7.041314166E-1,5.403762817E-2,2.145039368E-1,9.817185059E0,9.819676903E0
7.141624166E-1,4.775070190E-2,2.170486450E-1,9.820029144E0,9.822543593E0
7.241944167E-1,4.221221924E-2,2.261796570E-1,9.836943970E0,9.839634433E0
7.342254167E-1,5.149291992E-2,2.213896179E-1,9.810748444E0,9.813381166E0
7.442564166E-1,3.832031250E-2,2.255809021E-1,9.792037354E0,9.794710344E0
7.542884166E-1,3.772155762E-2,2.204914856E-1,9.819131012E0,9.821678738E0
7.643194166E-1,2.978805542E-2,2.179467773E-1,9.823771362E0,9.826233862E0
7.743504166E-1,2.215393066E-2,2.101629639E-1,9.822723541E0,9.824996541E0
7.843824166E-1,3.038681030E-2,2.210902405E-1,9.807904358E0,9.810443015E0
7.944134166E-1,4.640350342E-2,2.174977112E-1,9.823771362E0,9.826288329E0
8.044444167E-1,3.832031250E-2,2.225871277E-1,9.827513580E0,9.830108679E0
8.144764167E-1,3.951782227E-2,2.044747925E-1,9.826316071E0,9.828522733E0
8.245074166E-1,3.457809448E-2,2.216889954E-1,9.810748444E0,9.813313746E0
8.345384166E-1,4.730163574E-2,2.182461548E-1,9.827663269E0,9.830200108E0
8.445704166E-1,4.086502075E-2,2.152523804E-1,9.824968872E0,9.827411504E0
8.546014166E-1,5.972579956E-2,2.251318359E-1,9.818981323E0,9.821743518E0
8.646324166E-1,5.538482666E-2,2.145039368E-1,9.809101868E0,9.811603277E0
8.746644167E-1,5.224136353E-2,2.116598511E-1,9.815388794E0,9.817809645E0
8.846954167E-1,5.912704468E-2,2.136058044E-1,9.809850311E0,9.812353774E0
8.947264167E-1,6.855743408E-2,2.200424194E-1,9.812844086E0,9.815550307E0
9.047584166E-1,5.313949585E-2,2.318678284E-1,9.835896149E0,9.838772258E0
9.147894166E-1,5.179229736E-2,2.158511353E-1,9.814939728E0,9.817449568E0
9.248214166E-1,6.167175293E-2,2.128573608E-1,9.809251556E0,9.811754571E0
9.348524166E-1,4.625381470E-2,2.122586060E-1,9.813442841E0,9.815847061E0
9.448834166E-1,3.517684937E-2,2.344125366E-1,9.829908600E0,9.832766128E0
9.549150416E-1,4.520599365E-2,2.227368164E-1,9.827214203E0,9.829842026E0
9.649460416E-1,4.580474854E-2,2.165995789E-1,9.806557159E0,9.809055855E0
9.749770416E-1,3.682342529E-2,2.176473999E-1,9.808054047E0,9.810537729E0
9.850090416E-1,4.415817261E-2,2.154020691E-1,9.813742218E0,9.816205189E0
9.950400416E-1,4.340972900E-2,2.270777893E-1,9.815837860E0,9.818560059E0
1.005071042E0,3.847000122E-2,2.242337036E-1,9.804162140E0,9.806801515E0
1.015103042E0,4.819976807E-2,2.279759216E-1,9.823621674E0,9.826384840E0
1.025134042E0,4.101470947E-2,2.207908630E-1,9.839338989E0,9.841901369E0
1.035165042E0,4.864883423E-2,2.198927307E-1,9.829309845E0,9.831889521E0
1.045197042E0,3.637435913E-2,2.216889954E-1,9.819430389E0,9.821999912E0
1.055228042E0,3.802093506E-2,2.131567383E-1,9.824519806E0,9.826905454E0
1.065259042E0,4.221221924E-2,2.131567383E-1,9.814640350E0,9.817045527E0
1.075291042E0,4.400848389E-2,2.146536255E-1,9.822424164E0,9.824867906E0
1.085322042E0,4.086502075E-2,2.173480225E-1,9.812844086E0,9.815335917E0
1.095353042E0,4.969665527E-2,2.192939758E-1,9.810449066E0,9.813025552E0
1.105385042E0,4.775070190E-2,2.121089172E-1,9.826016693E0,9.828421764E0
1.115416042E0,4.370910645E-2,2.228865051E-1,9.817035370E0,9.819662537E0
1.125447042E0,4.595443726E-2,2.185455322E-1,9.786049805E0,9.788597690E0
1.135479042E0,5.388793945E-2,2.185455322E-1,9.809251556E0,9.811833782E0
1.145510042E0,5.688171387E-2,2.101629639E-1,9.829010468E0,9.831421605E0
1.155541042E0,5.074447632E-2,2.139051819E-1,9.827513580E0,9.829972207E0
1.165573042E0,6.077362061E-2,2.209405518E-1,9.806108093E0,9.808785047E0
1.175604042E0,5.867797852E-2,2.203417969E-1,9.818831635E0,9.821478925E0
1.185635042E0,6.436614990E-2,2.154020691E-1,9.833800507E0,9.836369933E0
1.195667042E0,3.861968994E-2,2.167492676E-1,9.819131012E0,9.821598931E0
1.205698042E0,5.777984619E-2,2.203417969E-1,9.811945953E0,9.814589773E0
1.215729042E0,4.834945679E-2,1.947450256E-1,9.796228638E0,9.798283463E0
1.225761042E0,4.191284180E-2,2.122586060E-1,9.814340973E0,9.816725479E0
1.235792042E0,5.463638306E-2,2.158511353E-1,9.826465759E0,9.828988054E0
1.245824042E0,4.430786133E-2,2.182461548E-1,9.821825409E0,9.824349797E0
1.255855042E0,4.385879517E-2,2.246827698E-1,9.801168365E0,9.803841455E0
1.265886042E0,3.053649902E-2,2.276765442E-1,9.813592529E0,9.816280732E0
1.275918042E0,5.179229736E-2,2.100132751E-1,9.826316071E0,9.828696533E0
1.285949042E0,4.715194702E-2,2.293231201E-1,9.830507355E0,9.833294832E0
1.295980042E0,4.655319214E-2,2.237846375E-1,9.815089417E0,9.817750609E0
1.306012042E0,4.056564331E-2,2.201921082E-1,9.816286926E0,9.818840011E0
1.316043042E0,4.355941772E-2,2.227368164E-1,9.814191284E0,9.816815149E0
1.326074042E0,3.173400879E-2,2.189945984E-1,9.819280701E0,9.821773728E0
1.336106042E0,4.340972900E-2,2.203417969E-1,9.813143463E0,9.815712890E0
